DATE,Alte Pinakothek,Olympiapark,Bayerisches Nationalmuseum,Bayerisches Staatsoper,Deutsches Museum,Kleine Olympiahalle,Museum Brandhorst,Museum Mensch und Natur,Muenchner Kammerspiele,Muenchner Stadtmuseum,Nationaltheater,Neue Pinakothek,Olympia-Eissportzentrum,Olympiahalle,Olympiastadion,Olympiaturm,Pinakothek der Moderne,Prinzregententheater,Residenztheater,Schack galerie,Lenbachhaus,Staatstheater am Gaertnerplatz,Tierpark Hellabrunn,AnzahlFall
2007-05-01,17250.0,39860.0,12122.0,850.8,82331.0,400.0,0.0,0.0,13988.8,11356.0,43060.8,14707.0,8315.0,49900.0,22024.0,52451.0,28478.0,10743.5,18260.5,593.0,23674.0,16735.5,86329.0,0.0
2007-06-01,15535.0,46410.0,12475.0,3966.7,70957.0,2400.0,0.0,0.0,14748.2,5533.0,31852.8,13720.0,6880.0,71750.0,146617.0,49788.0,22296.0,10091.1,19507.8,475.0,18230.0,15821.9,95569.0,0.0
2007-07-01,21900.0,136800.0,14575.0,8065.9,122331.0,350.0,0.0,0.0,14944.0,7527.0,59493.8,22996.0,11295.0,4000.0,118013.0,67922.0,31642.0,1570.9,20939.5,461.0,15885.0,17203.2,113977.0,0.0
2007-08-01,23294.0,360970.0,17437.0,11436.97475,133217.0,57396.03004,0.0,0.0,18842.159669999997,4052.0,18822.57375,28491.0,11139.0,9500.0,80738.0,89570.0,28442.0,18803.15487,18793.47798,480.0,11557.0,18774.39386,158867.0,0.0
2007-09-01,16742.0,10010.0,17923.0,4657.7,81040.0,57396.03004,0.0,0.0,1567.2,6569.0,11629.2,14466.0,20129.0,12080.0,55786.0,55891.0,37136.0,3437.7,1542.8,349.0,9015.0,18774.39386,86065.0,0.0
2007-10-01,20063.0,12400.0,6165.0,5151.7,84147.0,500.0,0.0,0.0,13376.6,5229.0,44615.4,17157.0,23842.0,54700.0,60584.0,52709.0,62252.0,13567.3,18572.4,1355.0,13537.0,7503.1,67928.0,0.0
2007-11-01,17084.0,3467.0,6551.0,4647.7,60698.0,57396.03004,0.0,0.0,14553.7,7454.0,47836.1,12624.0,30318.0,100800.0,5324.0,27852.0,48266.0,16122.9,20327.4,341.0,9003.0,14236.8,26177.0,0.0
2007-12-01,22308.0,8020.0,18707.0,11436.97475,63931.0,900.0,0.0,0.0,16582.0,6915.0,56607.2,13304.0,39130.0,94700.0,32856.0,36397.0,47276.0,38438.2,20414.8,541.0,13653.0,21024.7,20686.0,0.0
2008-01-01,19449.0,2470.0,9300.0,763.5,62702.0,450.0,0.0,0.0,16721.9,7127.0,48554.7,12011.0,36054.0,52220.0,5558.0,29395.0,49975.0,22115.8,17847.0,505.0,19116.0,18361.7,50164.0,0.0
2008-02-01,16349.0,6620.0,8377.0,4874.0,67305.0,57396.03004,0.0,0.0,12988.0,7254.0,48239.3,12096.0,27648.0,123700.0,7004.0,40788.0,19430.0,18448.6,17534.3,309.0,17071.0,16871.6,64802.0,0.0
2008-03-01,20488.0,5450.0,10673.0,11436.97475,128189.0,500.0,0.0,0.0,17645.0,8511.0,45411.3,21031.0,28652.0,58800.0,35912.0,52812.0,30326.0,21453.4,17814.5,23181.57318,25561.0,15884.7,67029.0,0.0
2008-04-01,18125.0,11630.0,8630.0,4965.2,85455.0,1300.0,0.0,0.0,15787.5,6491.0,45519.8,16274.0,20590.0,52200.0,12731.0,42683.0,26545.0,27725.9,16576.2,23181.57318,12900.0,14791.9,64092.0,0.0
2008-05-01,20072.0,65580.0,9146.0,619.9,87928.0,57396.03004,0.0,0.0,14251.6,8728.0,42677.2,14061.0,8195.0,71900.0,85336.0,69811.0,21976.0,5712.0,18535.9,23181.57318,11266.0,14876.7,137916.0,0.0
2008-06-01,15900.0,30340.0,4602.0,6193.0,66992.0,1050.0,0.0,0.0,11473.8,18455.0,27713.9,12905.0,7143.0,9700.0,142126.0,42255.0,22495.0,8002.7,18623.1,23181.57318,10520.0,14180.2,69707.0,0.0
2008-07-01,24124.0,82090.0,7453.0,6851.2,131619.0,1050.0,0.0,0.0,12533.0,21351.0,59497.9,19216.0,11173.0,57396.03004,47727.0,67248.0,37570.0,3817.5,21060.9,23181.57318,15586.0,14482.7,117375.0,0.0
