DATE,Alte Pinakothek,Ausland (Tourismus),Olympiapark,Bayerisches Nationalmuseum,Bayerisches Staatsorchester,Deutsches Museum,Inland (Tourismus),Kleine Olympiahalle,Museum Brandhorst,Museum Mensch und Natur,Muenchner Kammerspiele,Muenchner Philharmoniker,Muenchner Stadtmuseum,Nationaltheater,Neue Pinakothek,Olympia-Eissportzentrum,Olympiahalle,Olympiastadion,Olympiaturm,Pinakothek der Moderne,Prinzregententheater,Residenztheater,Schackgalerie,Schauburg - Theater fuer junges Publikum,Staedtische Galerie im Lenbachhaus,Theater am Gaertnerplatz,Tierpark Hellabrunn,Kinos
01/05/2007,17250,504748,39860,12122,850.8,82331,664224,400,0,0,13988.8,14306.2,11356,43060.8,14707,8315,49900,22024,52451,28478,10743.5,18260.5,593,3403.4,23674,16735.5,86329,1552040
01/06/2007,15535,565293,46410,12475,3966.7,70957,636508,2400,0,0,14748.2,28146.6,5533,31852.8,13720,6880,71750,146617,49788,22296,10091.1,19507.8,475,4173,18230,15821.9,95569,1563846
01/07/2007,21900,698318,136800,14575,8065.9,122331,704893,350,0,0,14944,14924.2,7527,59493.8,22996,11295,4000,118013,67922,31642,1570.9,20939.5,461,4679.4,15885,17203.2,113977,1830977
01/08/2007,23294,751791,360970,17437,11523.11961,133217,653325,57396.03004,0,0,18979.50766,11498.17614,4052,18969.56682,28491,11139,9500,80738,89570,28442,18959.70111,18949.8636,480,18940.11325,11557,18930.46492,158867,1802084
01/09/2007,16742,728568,10010,17923,4657.7,81040,687119,57396.03004,0,0,1567.2,8102.4,6569,11629.2,14466,20129,12080,55786,55891,37136,3437.7,1542.8,349,18940.11325,9015,18930.46492,86065,1729540
01/10/2007,20063,619320,12400,6165,5151.7,84147,772868,500,0,0,13376.6,19993.3,5229,44615.4,17157,23842,54700,60584,52709,62252,13567.3,18572.4,1355,2569,13537,7503.1,67928,1792064
01/11/2007,17084,456987,3467,6551,4647.7,60698,661661,57396.03004,0,0,14553.7,10736.7,7454,47836.1,12624,30318,100800,5324,27852,48266,16122.9,20327.4,341,7511.5,9003,14236.8,26177,1481504
01/12/2007,22308,533414,8020,18707,11523.11961,63931,595166,900,0,0,16582,25236.6,6915,56607.2,13304,39130,94700,32856,36397,47276,38438.2,20414.8,541,3697.9,13653,21024.7,20686,1499963
01/01/2008,19449,410163,2470,9300,763.5,62702,494392,450,0,0,16721.9,26420,7127,48554.7,12011,36054,52220,5558,29395,49975,22115.8,17847,505,4179.9,19116,18361.7,50164,1378345
01/02/2008,16349,397516,6620,8377,4874,67305,547389,57396.03004,0,0,12988,16021.4,7254,48239.3,12096,27648,123700,7004,40788,19430,18448.6,17534.3,309,3875.5,17071,16871.6,64802,1401285
