AUSPRAEGUNG,WERT,DATE
Münchner Philharmoniker,18451.0,2006-10-01
Münchner Philharmoniker,20506.0,2006-11-01
Münchner Philharmoniker,23387.0,2006-12-01
Münchner Philharmoniker,11888.0,2005-01-01
Münchner Philharmoniker,15465.0,2005-02-01
Münchner Philharmoniker,16847.0,2005-03-01
Münchner Philharmoniker,20609.0,2005-04-01
Münchner Philharmoniker,26412.0,2005-05-01
Münchner Philharmoniker,27493.0,2005-06-01
Münchner Philharmoniker,11276.0,2005-07-01
Münchner Philharmoniker,,2005-08-01
Münchner Philharmoniker,4133.0,2005-09-01
Münchner Philharmoniker,25858.0,2005-10-01
Münchner Philharmoniker,16900.0,2005-11-01
Münchner Philharmoniker,16793.0,2005-12-01
Münchner Philharmoniker,25100.0,2004-01-01
Münchner Philharmoniker,17954.0,2004-02-01
Münchner Philharmoniker,25122.0,2004-03-01
Münchner Philharmoniker,24328.0,2004-04-01
Münchner Philharmoniker,14575.0,2004-05-01
Münchner Philharmoniker,10721.0,2004-06-01
Münchner Philharmoniker,20441.0,2004-07-01
Münchner Philharmoniker,,2004-08-01
Münchner Philharmoniker,11888.0,2004-09-01
Münchner Philharmoniker,19903.0,2004-10-01
Münchner Philharmoniker,28571.0,2004-11-01
Münchner Philharmoniker,18415.0,2004-12-01
Münchner Philharmoniker,24182.0,2003-01-01
Münchner Philharmoniker,16042.0,2003-02-01
Münchner Philharmoniker,30000.0,2003-03-01
Münchner Philharmoniker,20886.0,2003-04-01
Münchner Philharmoniker,21767.0,2003-05-01
Münchner Philharmoniker,15431.0,2003-06-01
Münchner Philharmoniker,13029.0,2003-07-01
Münchner Philharmoniker,,2003-08-01
Münchner Philharmoniker,17308.0,2003-09-01
Münchner Philharmoniker,11960.0,2003-10-01
Münchner Philharmoniker,24093.0,2003-11-01
Münchner Philharmoniker,25018.0,2003-12-01
Münchner Philharmoniker,23581.0,2002-01-01
Münchner Philharmoniker,14877.0,2002-02-01
Münchner Philharmoniker,22431.0,2002-03-01
Münchner Philharmoniker,23404.0,2002-04-01
Münchner Philharmoniker,13651.0,2002-05-01
Münchner Philharmoniker,25154.0,2002-06-01
Münchner Philharmoniker,7140.0,2002-07-01
Münchner Philharmoniker,2347.0,2002-08-01
Münchner Philharmoniker,14372.0,2002-09-01
Münchner Philharmoniker,21218.0,2002-10-01
Münchner Philharmoniker,27128.0,2002-11-01
Münchner Philharmoniker,23372.0,2002-12-01
Münchner Philharmoniker,21558.0,2001-01-01
Münchner Philharmoniker,24074.0,2001-02-01
Münchner Philharmoniker,29487.0,2001-03-01
Münchner Philharmoniker,21014.0,2001-04-01
Münchner Philharmoniker,10303.0,2001-05-01
Münchner Philharmoniker,19958.0,2001-06-01
Münchner Philharmoniker,14316.0,2001-07-01
Münchner Philharmoniker,,2001-08-01
Münchner Philharmoniker,30713.0,2001-09-01
Münchner Philharmoniker,20611.0,2001-10-01
Münchner Philharmoniker,31115.0,2001-11-01
Münchner Philharmoniker,27619.0,2001-12-01
Münchner Philharmoniker,19192.0,2000-01-01
Münchner Philharmoniker,16446.0,2000-02-01
