,date,place,rating,#_of_visits,city_district,city_district_metric,all_metric_score,type_door
184,2019-02-04,Deutsches Museum,50.0,2,Ludwigsvorstadt-Isarvorstadt,Ludwigsvorstadt-Isarvorstadt,16075.5,indoors
185,2019-02-04,Eisbach,50.0,1,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
186,2019-02-04,English Garden,46.666666666666664,3,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
187,2019-02-04,Marienplatz,48.333333333333336,6,Altstadt-Lehel,Altstadt-Lehel,0,outdoors
188,2019-02-04,Munich Residenz,46.875,16,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
189,2019-02-04,Museum Brandhorst,40.0,1,Maxvorstadt,Maxvorstadt,15512.5,indoors
190,2019-02-04,Neues Rathaus Munich,50.0,1,Altstadt-Lehel,Altstadt-Lehel,0,indoors
191,2019-02-04,Nymphenburg Palace,45.0,2,Neuhausen-Nymphenburg,Neuhausen-Nymphenburg,0,indoors
192,2019-02-04,Olympiapark,43.333333333333336,18,Milbertshofen-Am Hart,Milbertshofen-Am Hart,4805.5,outdoors
193,2019-02-04,Olympiaturm,40.0,2,Milbertshofen-Am Hart,Milbertshofen-Am Hart,4805.5,outdoors
194,2019-02-04,Pinakothek der Moderne,44.54545454545455,11,Maxvorstadt,Maxvorstadt,15512.5,indoors
195,2019-02-04,St-Peter Munich,43.333333333333336,3,Altstadt-Lehel,Altstadt-Lehel,0,indoors
196,2019-02-04,Viktualienmarkt,40.0,2,Altstadt-Lehel,Altstadt-Lehel,0,outdoors
197,2019-03-04,Allianz Arena,47.142857142857146,42,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
198,2019-03-04,Alte Pinakothek,46.0,15,Maxvorstadt,Maxvorstadt,15512.5,indoors
199,2019-03-04,BMW Museum,47.391304347826086,23,Milbertshofen-Am Hart,Milbertshofen-Am Hart,0,indoors
200,2019-03-04,Bayerisches Nationalmuseum,40.0,1,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
201,2019-03-04,Bayerisches Staatsoper,40.0,2,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
202,2019-03-04,Deutsches Museum,48.0,5,Ludwigsvorstadt-Isarvorstadt,Ludwigsvorstadt-Isarvorstadt,16075.5,indoors
203,2019-03-04,English Garden,45.0,8,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
204,2019-03-04,Lenbachhaus,50.0,1,Maxvorstadt,Maxvorstadt,15512.5,indoors
205,2019-03-04,Marienplatz,49.0,10,Altstadt-Lehel,Altstadt-Lehel,0,outdoors
206,2019-03-04,Munich Residenz,45.18518518518518,27,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
207,2019-03-04,Museum Brandhorst,50.0,2,Maxvorstadt,Maxvorstadt,15512.5,indoors
208,2019-03-04,Neues Rathaus Munich,50.0,1,Altstadt-Lehel,Altstadt-Lehel,0,indoors
209,2019-03-04,Nymphenburg Palace,47.27272727272727,11,Neuhausen-Nymphenburg,Neuhausen-Nymphenburg,0,indoors
210,2019-03-04,Olympiapark,43.57142857142857,28,Milbertshofen-Am Hart,Milbertshofen-Am Hart,4805.5,outdoors
211,2019-03-04,Olympiaturm,46.666666666666664,3,Milbertshofen-Am Hart,Milbertshofen-Am Hart,4805.5,outdoors
212,2019-03-04,Pinakothek der Moderne,40.90909090909091,11,Maxvorstadt,Maxvorstadt,15512.5,indoors
213,2019-03-04,St-Peter Munich,46.666666666666664,3,Altstadt-Lehel,Altstadt-Lehel,0,indoors
214,2019-03-04,Tierpark Hellabrunn,50.0,1,Untergiesing-Harlaching,Untergiesing-Harlaching,3599.5,outdoors
215,2019-03-04,Viktualienmarkt,47.5,4,Altstadt-Lehel,Altstadt-Lehel,0,outdoors
216,2019-04-04,Allianz Arena,43.38461538461539,65,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
217,2019-04-04,Alte Pinakothek,42.608695652173914,23,Maxvorstadt,Maxvorstadt,15512.5,indoors
218,2019-04-04,BMW Museum,44.516129032258064,31,Milbertshofen-Am Hart,Milbertshofen-Am Hart,0,indoors
219,2019-04-04,Bayerisches Nationalmuseum,44.0,5,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
220,2019-04-04,Bayerisches Staatsoper,50.0,6,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
221,2019-04-04,Deutsches Museum,47.5,4,Ludwigsvorstadt-Isarvorstadt,Ludwigsvorstadt-Isarvorstadt,16075.5,indoors
222,2019-04-04,English Garden,46.666666666666664,12,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
223,2019-04-04,Marienplatz,43.07692307692308,13,Altstadt-Lehel,Altstadt-Lehel,0,outdoors
224,2019-04-04,Munich Residenz,44.41860465116279,43,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
225,2019-04-04,Museum Brandhorst,36.666666666666664,3,Maxvorstadt,Maxvorstadt,15512.5,indoors
226,2019-04-04,Neues Rathaus Munich,50.0,2,Altstadt-Lehel,Altstadt-Lehel,0,indoors
227,2019-04-04,Nymphenburg Palace,45.69620253164557,79,Neuhausen-Nymphenburg,Neuhausen-Nymphenburg,0,indoors
228,2019-04-04,Olympiapark,45.348837209302324,43,Milbertshofen-Am Hart,Milbertshofen-Am Hart,4805.5,outdoors
229,2019-04-04,Olympiaturm,48.57142857142857,7,Milbertshofen-Am Hart,Milbertshofen-Am Hart,4805.5,outdoors
230,2019-04-04,Pinakothek der Moderne,46.0,5,Maxvorstadt,Maxvorstadt,15512.5,indoors
231,2019-04-04,St-Peter Munich,45.0,2,Altstadt-Lehel,Altstadt-Lehel,0,indoors
232,2019-04-04,Tierpark Hellabrunn,43.333333333333336,3,Untergiesing-Harlaching,Untergiesing-Harlaching,3599.5,outdoors
233,2019-04-04,Viktualienmarkt,46.666666666666664,6,Altstadt-Lehel,Altstadt-Lehel,0,outdoors
234,2019-05-04,Allianz Arena,46.25,32,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
235,2019-05-04,Alte Pinakothek,45.45454545454545,22,Maxvorstadt,Maxvorstadt,15512.5,indoors
236,2019-05-04,Asamkirche Munich,40.0,2,Sendling,Sendling,0,indoors
237,2019-05-04,BMW Museum,46.8421052631579,38,Milbertshofen-Am Hart,Milbertshofen-Am Hart,0,indoors
238,2019-05-04,Bayerisches Nationalmuseum,45.0,8,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
239,2019-05-04,Bayerisches Staatsoper,46.666666666666664,3,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
240,2019-05-04,Deutsches Museum,48.333333333333336,6,Ludwigsvorstadt-Isarvorstadt,Ludwigsvorstadt-Isarvorstadt,16075.5,indoors
241,2019-05-04,English Garden,45.55555555555556,9,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
