AUSPRAEGUNG,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT,DATE
Nationaltheater,0.0,42338.0,,,,2020-05-01
Nationaltheater,42658.0,52795.0,-20.28,-19.2,42077.0,2019-01-01
Nationaltheater,45388.0,43238.0,6.4,4.97,42273.0,2019-02-01
Nationaltheater,53264.0,46371.0,17.35,14.86,42899.0,2019-03-01
Nationaltheater,49837.0,41880.0,-6.43,19.0,43623.0,2019-04-01
Nationaltheater,42338.0,43466.0,-15.05,-2.6,43520.0,2019-05-01
Nationaltheater,42418.0,40362.0,0.19,5.09,43707.0,2019-06-01
Nationaltheater,51967.0,49926.0,22.51,4.09,43893.0,2019-07-01
Nationaltheater,,,,,,2019-08-01
Nationaltheater,15857.0,11802.0,,34.36,44261.0,2019-09-01
Nationaltheater,46593.0,42397.0,193.83,9.9,44643.0,2019-10-01
Nationaltheater,38799.0,47241.0,-16.73,-17.87,43875.0,2019-11-01
Nationaltheater,47752.0,53508.0,23.08,-10.76,43352.0,2019-12-01
Nationaltheater,52795.0,51487.0,5.68,2.54,42927.0,2018-01-01
Nationaltheater,43238.0,41630.0,-18.1,3.86,43073.0,2018-02-01
Nationaltheater,46371.0,40533.0,7.25,14.4,43603.0,2018-03-01
Nationaltheater,41880.0,52095.0,-9.68,-19.61,42675.0,2018-04-01
Nationaltheater,43466.0,50316.0,3.79,-13.61,42052.0,2018-05-01
Nationaltheater,40362.0,36984.0,-7.14,9.13,42359.0,2018-06-01
Nationaltheater,49926.0,60236.0,23.7,-17.12,41422.0,2018-07-01
Nationaltheater,,,,,,2018-08-01
Nationaltheater,11802.0,5748.0,,105.32,41972.0,2018-09-01
Nationaltheater,42397.0,44976.0,259.24,-5.73,41738.0,2018-10-01
Nationaltheater,47241.0,36922.0,11.43,27.95,42676.0,2018-11-01
Nationaltheater,53508.0,49957.0,13.27,7.11,42999.0,2018-12-01
Nationaltheater,51487.0,46182.0,-6.71,11.49,44775.0,2017-01-01
Nationaltheater,41630.0,38301.0,-19.14,8.69,45078.0,2017-02-01
Nationaltheater,40533.0,45142.0,-2.64,-10.21,44659.0,2017-03-01
Nationaltheater,52095.0,51380.0,28.52,1.39,44724.0,2017-04-01
Nationaltheater,50316.0,48105.0,-3.41,4.6,44925.0,2017-05-01
Nationaltheater,36984.0,38860.0,-26.5,-4.83,44754.0,2017-06-01
Nationaltheater,60236.0,54499.0,62.87,10.53,45276.0,2017-07-01
Nationaltheater,,,,,,2017-08-01
Nationaltheater,5748.0,15697.0,,-63.38,44371.0,2017-09-01
Nationaltheater,44976.0,45913.0,682.46,-2.04,44286.0,2017-10-01
Nationaltheater,36922.0,47949.0,-17.91,-23.0,43284.0,2017-11-01
Nationaltheater,49957.0,55193.0,35.3,-9.49,42808.0,2017-12-01
Nationaltheater,46182.0,49635.0,-15.45,-6.96,43324.0,2016-01-01
Nationaltheater,38301.0,48072.0,-17.07,-20.33,42436.0,2016-02-01
Nationaltheater,45142.0,47821.0,17.86,-5.6,42192.0,2016-03-01
Nationaltheater,51380.0,44126.0,13.82,16.44,42852.0,2016-04-01
Nationaltheater,48105.0,45600.0,-6.37,5.49,43079.0,2016-05-01
Nationaltheater,38860.0,32923.0,-19.22,18.03,43619.0,2016-06-01
Nationaltheater,54499.0,52821.0,40.24,3.18,43772.0,2016-07-01
Nationaltheater,,,,,,2016-08-01
Nationaltheater,15697.0,18909.0,,-16.99,43480.0,2016-09-01
Nationaltheater,45913.0,44261.0,192.5,3.73,43630.0,2016-10-01
Nationaltheater,47949.0,41230.0,4.43,16.3,44241.0,2016-11-01
Nationaltheater,55193.0,54619.0,15.11,1.05,44293.0,2016-12-01
Nationaltheater,49635.0,51328.0,-12.57,-3.3,47931.0,2015-01-01
Nationaltheater,48072.0,44863.0,-3.15,7.15,48223.0,2015-02-01
Nationaltheater,47821.0,54154.0,-0.52,-11.69,47647.0,2015-03-01
Nationaltheater,44126.0,43551.0,-7.73,1.32,47699.0,2015-04-01
Nationaltheater,45600.0,47512.0,3.34,-4.02,47526.0,2015-05-01
Nationaltheater,32923.0,35280.0,-27.8,-6.68,47311.0,2015-06-01
Nationaltheater,52821.0,89077.0,60.44,-40.7,44015.0,2015-07-01
Nationaltheater,,,,,,2015-08-01
Nationaltheater,18909.0,15574.0,,21.41,44319.0,2015-09-01
Nationaltheater,44261.0,41567.0,134.07,6.48,44563.0,2015-10-01
Nationaltheater,41230.0,49262.0,-6.85,-16.3,43833.0,2015-11-01
Nationaltheater,54619.0,56768.0,32.47,-3.79,43638.0,2015-12-01
Nationaltheater,51328.0,41297.0,-8.41,24.29,43770.0,2014-01-01
Nationaltheater,44863.0,40054.0,-12.6,12.01,44207.0,2014-02-01
Nationaltheater,54154.0,50281.0,20.71,7.7,44559.0,2014-03-01
Nationaltheater,43551.0,44298.0,-19.58,-1.69,44491.0,2014-04-01
Nationaltheater,47512.0,42341.0,9.1,12.21,44961.0,2014-05-01
Nationaltheater,35280.0,34760.0,-25.75,1.5,45008.0,2014-06-01
Nationaltheater,89077.0,53534.0,152.49,66.39,48240.0,2014-07-01
Nationaltheater,,,,,,2014-08-01
Nationaltheater,15574.0,17521.0,,-11.11,48063.0,2014-09-01
Nationaltheater,41567.0,44409.0,166.9,-6.4,47804.0,2014-10-01
Nationaltheater,49262.0,46898.0,18.51,5.04,48019.0,2014-11-01
Nationaltheater,56768.0,56042.0,15.24,1.3,48085.0,2014-12-01
Nationaltheater,41297.0,39812.0,-33.48,3.73,42471.0,2013-01-01
Nationaltheater,40054.0,46678.0,-3.01,-14.19,41869.0,2013-02-01
Nationaltheater,50281.0,51801.0,25.53,-2.93,41731.0,2013-03-01
Nationaltheater,44298.0,46513.0,-11.9,-4.76,41529.0,2013-04-01
Nationaltheater,42341.0,35857.0,-4.42,18.08,42119.0,2013-05-01
Nationaltheater,34760.0,25730.0,-17.9,35.1,42940.0,2013-06-01
Nationaltheater,53534.0,59318.0,54.01,-9.75,42414.0,2013-07-01
Nationaltheater,,,,,,2013-08-01
Nationaltheater,17521.0,13591.0,,28.92,42771.0,2013-09-01
Nationaltheater,44409.0,41964.0,153.46,5.83,42993.0,2013-10-01
Nationaltheater,46898.0,42347.0,5.6,10.75,43407.0,2013-11-01
Nationaltheater,56042.0,62084.0,19.5,-9.73,42858.0,2013-12-01
Nationaltheater,39812.0,51934.0,-12.06,-23.34,42509.0,2012-01-01
Nationaltheater,46678.0,40409.0,17.25,15.51,43136.0,2012-02-01
Nationaltheater,51801.0,50956.0,10.98,1.66,43221.0,2012-03-01
Nationaltheater,46513.0,44818.0,-10.21,3.78,43390.0,2012-04-01
Nationaltheater,35857.0,44599.0,-22.91,-19.6,42516.0,2012-05-01
Nationaltheater,25730.0,30949.0,-28.24,-16.86,41994.0,2012-06-01
Nationaltheater,59318.0,57298.0,130.54,3.53,42196.0,2012-07-01
Nationaltheater,,,,,,2012-08-01
Nationaltheater,13591.0,,,,39596.0,2012-09-01
Nationaltheater,41964.0,26223.0,208.76,60.03,41027.0,2012-10-01
Nationaltheater,42347.0,44754.0,0.91,-5.38,40808.0,2012-11-01
Nationaltheater,62084.0,45274.0,46.61,37.13,42336.0,2012-12-01
Nationaltheater,51934.0,47862.0,-4.89,8.51,43056.0,2011-01-01
Nationaltheater,40409.0,46438.0,-22.19,-12.98,42508.0,2011-02-01
Nationaltheater,50956.0,45620.0,26.1,11.7,42993.0,2011-03-01
Nationaltheater,44818.0,39889.0,-12.05,12.36,43441.0,2011-04-01
Nationaltheater,44599.0,41937.0,-0.49,6.35,43683.0,2011-05-01
Nationaltheater,30949.0,25898.0,-30.61,19.5,44142.0,2011-06-01
Nationaltheater,57298.0,59887.0,85.14,-4.32,43907.0,2011-07-01
Nationaltheater,,,,,,2011-08-01
Nationaltheater,,18426.0,,,,2011-09-01
Nationaltheater,26223.0,47179.0,,-44.42,44360.0,2011-10-01
Nationaltheater,44754.0,41808.0,70.67,7.05,44654.0,2011-11-01
Nationaltheater,45274.0,54602.0,1.16,-17.08,43721.0,2011-12-01
Nationaltheater,47862.0,42936.0,-13.2,11.47,43657.0,2010-01-01
Nationaltheater,46438.0,46553.0,-2.98,-0.25,43646.0,2010-02-01
Nationaltheater,45620.0,47199.0,-1.76,-3.35,43503.0,2010-03-01
Nationaltheater,39889.0,39664.0,-12.56,0.57,43523.0,2010-04-01
Nationaltheater,41937.0,43155.0,5.13,-2.82,43412.0,2010-05-01
Nationaltheater,25898.0,26607.0,-38.25,-2.66,43348.0,2010-06-01
Nationaltheater,59887.0,60554.0,131.24,-1.1,43287.0,2010-07-01
Nationaltheater,,,,,,2010-08-01
Nationaltheater,18426.0,20352.0,,-9.46,43112.0,2010-09-01
Nationaltheater,47179.0,44454.0,156.05,6.13,43360.0,2010-10-01
Nationaltheater,41808.0,48684.0,-11.38,-14.12,42735.0,2010-11-01
Nationaltheater,54602.0,55138.0,30.6,-0.97,42686.0,2010-12-01
Nationaltheater,42936.0,48436.0,-10.32,-11.36,45437.0,2009-01-01
Nationaltheater,46553.0,48121.0,8.42,-3.26,45281.0,2009-02-01
Nationaltheater,47199.0,45293.0,1.39,4.21,45471.0,2009-03-01
Nationaltheater,39664.0,45401.0,-15.96,-12.64,44898.0,2009-04-01
Nationaltheater,43155.0,42567.0,8.8,1.38,44956.0,2009-05-01
Nationaltheater,26607.0,27608.0,-38.35,-3.63,44856.0,2009-06-01
Nationaltheater,60554.0,59371.0,127.59,1.99,44975.0,2009-07-01
Nationaltheater,,,,,,2009-08-01
Nationaltheater,20352.0,,,,42736.0,2009-09-01
Nationaltheater,44454.0,44474.0,118.43,-0.04,42734.0,2009-10-01
Nationaltheater,48684.0,50724.0,9.52,-4.02,42549.0,2009-11-01
Nationaltheater,55138.0,47879.0,13.26,15.16,43209.0,2009-12-01
Nationaltheater,48436.0,51672.0,-14.25,-6.26,43755.0,2008-01-01
Nationaltheater,48121.0,43818.0,-0.65,9.82,44147.0,2008-02-01
